Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MatchesPlayed;Starts;MinPlayed;90sPlayed;Goals;Assists;Goals+Assists;Goals-PenaltyGoals;PenaltyGoals;PenaltyAttempts;YellowCards;RedCards;ExpectedGoals;NonPenaltyExpectedGoals;ExpectedAssists;NonPenaltyExpectedGoals+ExpectedAssists;ProgressiveCarries;ProgressivePasses;ProgressivePassesReceived;Goals/90;Assists/90;Goals+Assist/90;Goals-PenaltyGoals/90;Goals+Assists-PenaltyGoals/90;ExpectedGoals/90;ExpectedAssists/90;ExpectedGoals+ExpectedAssists/90;NonPenaltyExpectedGoals/90;NonPenaltyExpectedGoals+ExpectedAssists/90
1394;Mahmut Kücüksahin;;MF;Augsburg;de Bundesliga;19;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1400;Justin Kumi;it ITA;FW;Sassuolo;it Serie A;19;2004;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1414;Yoel Lago;es ESP;DF;Celta Vigo;es La Liga;19;2004;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1431;Hugo Larsson;se SWE;MF;Eint Frankfurt;de Bundesliga;19;2004;29;21;1,886;21.0;2;1;3;2;0;0;1;0;1.3;1.3;1.4;2.7;26;68;42;0.10;0.05;0.14;0.10;0.14;0.06;0.07;0.13;0.06;0.13
1436;Roméo Lavia;be BEL;MF;Chelsea;eng Premier League;19;2004;1;0;33;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1458;Stefan Lekovic;rs SRB;DF;Villarreal;es La Liga;19;2004;1;0;29;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1473;Rico Lewis;eng ENG;DF,MF;Manchester City;eng Premier League;18;2004;16;8;809;9.0;2;0;2;2;0;0;1;0;0.6;0.6;1.1;1.8;21;33;46;0.22;0.00;0.22;0.22;0.22;0.07;0.12;0.19;0.07;0.19
1499;Elysée Logbo;fr FRA;FW;Le Havre;fr Ligue 1;19;2004;10;2;248;2.8;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.5;1;2;7;0.00;0.00;0.00;0.00;0.00;0.12;0.04;0.16;0.12;0.16
1539;Mateus Lusuardi;br BRA;DF;Frosinone;it Serie A;19;2004;4;3;219;2.4;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;2;12;0;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
1635;Mario Martín;es ESP;MF;Real Madrid;es La Liga;19;2004;2;0;18;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1662;Alex Matos;eng ENG;MF;Chelsea;eng Premier League;18;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1667;Alan Matturro;uy URU;DF;Genoa;it Serie A;18;2004;6;1;106;1.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;4;1;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06
1672;Aïman Maurer;ma MAR;MF,FW;Clermont Foot;fr Ligue 1;18;2004;5;0;56;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;2;8;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.20;0.20;0.20
1690;Malick Mbaye;sn SEN;MF,FW;Metz;fr Ligue 1;19;2004;5;1;153;1.7;0;0;0;0;0;0;1;0;0.4;0.4;0.2;0.6;8;1;20;0.00;0.00;0.00;0.00;0.00;0.26;0.11;0.37;0.26;0.37
1695;Christ Mbondi;fr FRA;FW;Reims;fr Ligue 1;18;2004;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1701;James McConnell;eng ENG;MF;Liverpool;eng Premier League;18;2004;3;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1721;Tomás Mendes;es ESP;MF;Alavés;es La Liga;18;2004;1;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1726;Antoine Mendy;sn SEN;DF;Nice;fr Ligue 1;19;2004;10;4;418;4.6;0;0;0;0;0;0;0;0;0.1;0.1;0.4;0.5;3;12;6;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10
1761;Lucas Mincarelli;fr FRA;DF,MF;Montpellier;fr Ligue 1;19;2004;13;12;978;10.9;1;1;2;1;0;0;1;1;0.4;0.4;0.6;0.9;24;26;40;0.09;0.09;0.18;0.09;0.18;0.03;0.05;0.09;0.03;0.09
1772;Filippo Missori;it ITA;DF;Sassuolo;it Serie A;19;2004;8;2;266;3.0;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;5;8;7;0.00;0.00;0.00;0.00;0.00;0.10;0.02;0.11;0.10;0.11
1800;Diego Moreira;pt POR;FW,MF;Lyon;fr Ligue 1;18;2004;7;4;270;3.0;0;0;0;0;0;0;1;0;0.7;0.7;0.3;1.0;10;12;23;0.00;0.00;0.00;0.00;0.00;0.24;0.11;0.35;0.24;0.35
1810;Cristhian Mosquera;es ESP;DF;Valencia;es La Liga;19;2004;36;33;3,075;34.2;0;0;0;0;0;0;2;0;0.7;0.7;0.0;0.7;14;77;4;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
1814;Youssoufa Moukoko;de GER;FW;Dortmund;de Bundesliga;18;2004;20;4;625;6.9;5;0;5;5;0;0;1;0;3.9;3.9;0.3;4.2;16;15;27;0.72;0.00;0.72;0.72;0.72;0.56;0.05;0.61;0.56;0.61
1819;Divin Mubama;eng ENG;FW;West Ham;eng Premier League;18;2004;5;0;80;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;5;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.17;0.17;0.17
1821;François Mughe;cm CMR;MF,DF;Marseille;fr Ligue 1;19;2004;5;2;177;2.0;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;7;7;16;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.10;0.05;0.10
1842;Alex Murphy;ie IRL;DF,FW;Newcastle Utd;eng Premier League;19;2004;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1867;Lapo Nava;it ITA;GK;Milan;it Serie A;19;2004;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1878;Cher Ndour;it ITA;MF;Paris S-G;fr Ligue 1;19;2004;3;0;28;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1880;Joseph Nduquidi;fr FRA;MF,DF;Metz;fr Ligue 1;18;2004;13;7;751;8.3;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.2;6;22;4;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
1884;Zack Nelson;eng ENG;MF,DF;Luton Town;eng Premier League;18;2004;2;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1944;Wilson Odobert;fr FRA;MF,FW;Burnley;eng Premier League;18;2004;29;25;2,098;23.3;3;2;5;3;0;0;3;0;2.8;2.8;3.3;6.1;102;58;123;0.13;0.09;0.21;0.13;0.21;0.12;0.14;0.26;0.12;0.26
1958;Michael Olakigbe;eng ENG;DF,FW;Brentford;eng Premier League;19;2004;8;0;59;0.7;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;10;4;17;0.00;0.00;0.00;0.00;0.00;0.18;0.00;0.18;0.18;0.18
1970;Samu Omorodion;es ESP;FW;Alavés;es La Liga;19;2004;34;21;1,918;21.3;8;1;9;8;0;0;6;0;10.8;10.8;1.3;12.0;30;18;100;0.38;0.05;0.42;0.38;0.42;0.51;0.06;0.56;0.51;0.56
1971;Samu Omorodion;es ESP;FW;Granada;es La Liga;19;2004;1;1;80;0.9;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;0;0;3;1.13;0.00;1.13;1.13;1.13;0.78;0.05;0.84;0.78;0.84
1993;Asier Osambela;es ESP;MF;Osasuna;es La Liga;19;2004;1;0;9;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2001;Kassoum Ouattara;fr FRA;DF,FW;Monaco;fr Ligue 1;18;2004;14;7;636;7.1;1;0;1;1;0;0;2;0;1.3;1.3;1.3;2.6;32;22;67;0.14;0.00;0.14;0.14;0.14;0.18;0.19;0.37;0.18;0.37
2018;Riccardo Pagano;it ITA;MF,DF;Roma;it Serie A;18;2004;4;0;51;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;3;2;0.00;0.00;0.00;0.00;0.00;0.10;0.09;0.18;0.10;0.18
2030;Christos Papadopoulos;gr GRE;FW;Genoa;it Serie A;18;2004;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2054;Aleksandar Pavlovic;de GER;MF;Bayern Munich;de Bundesliga;19;2004;19;14;1,227;13.6;2;2;4;2;0;0;6;0;1.2;1.2;1.0;2.2;14;105;14;0.15;0.15;0.29;0.15;0.29;0.09;0.07;0.16;0.09;0.16
2057;Nicolás Paz;ar ARG;MF,FW;Real Madrid;es La Liga;18;2004;4;0;23;0.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;3;6;2;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.31;0.31;0.31
2059;Sydie Peck;eng ENG;MF;Sheffield Utd;eng Premier League;18;2004;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2078;Aurélien Pelon;fr FRA;DF;Lorient;fr Ligue 1;19;2004;1;1;90;1.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2134;Niccolò Pisilli;it ITA;MF;Roma;it Serie A;18;2004;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2173;Abdellah Raihani;ma MAR;FW;Atlético Madrid;es La Liga;19;2004;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2239;Gorka Rivera Alonso;es ESP;DF;Getafe;es La Liga;18;2004;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2248;Sergio Rodelas;es ESP;FW,DF;Granada;es La Liga;18;2004;3;2;122;1.4;0;1;1;0;0;0;0;0;0.0;0.0;1.1;1.2;3;1;5;0.00;0.74;0.74;0.00;0.74;0.02;0.84;0.86;0.02;0.86
2251;Álvaro Rodríguez;uy URU;FW;Real Madrid;es La Liga;19;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2270;Luka Romero;ar ARG;FW,MF;Milan;it Serie A;18;2004;4;0;88;1.0;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;4;3;7;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09
2271;Luka Romero;ar ARG;FW;Almería;es La Liga;18;2004;13;5;438;4.9;3;0;3;3;0;0;2;0;1.3;1.3;0.1;1.4;11;14;20;0.62;0.00;0.62;0.62;0.62;0.26;0.02;0.28;0.26;0.28
2346;Sadibou Sané;sn SEN;DF;Metz;fr Ligue 1;19;2004;14;9;846;9.4;0;0;0;0;0;0;1;0;0.4;0.4;0.0;0.4;8;19;8;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04
2352;Jesús Santiago;es ESP;MF;Getafe;es La Liga;19;2004;14;8;656;7.3;1;0;1;1;0;0;4;0;0.6;0.6;0.4;1.0;5;15;12;0.14;0.00;0.14;0.14;0.14;0.08;0.05;0.14;0.08;0.14
2353;Andrey Santos;br BRA;MF;Nott'ham Forest;eng Premier League;19;2004;1;0;8;0.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.64;0.00;0.64;0.64;0.64
2354;Andrey Santos;br BRA;MF;Strasbourg;fr Ligue 1;19;2004;11;9;831;9.2;1;0;1;1;0;0;4;0;1.0;1.0;1.0;2.0;5;48;15;0.11;0.00;0.11;0.11;0.11;0.11;0.11;0.21;0.11;0.21
2356;Paco Sanz;es ESP;DF;Almería;es La Liga;18;2004;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2367;Sávio;br BRA;FW,MF;Girona;es La Liga;19;2004;37;35;2,976;33.1;9;10;19;9;0;0;5;0;6.1;6.1;7.9;14.0;181;93;372;0.27;0.30;0.57;0.27;0.57;0.18;0.24;0.42;0.18;0.42
2373;Dane Scarlett;eng ENG;FW;Tottenham;eng Premier League;19;2004;4;0;22;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2416;Andres Sfait;ro ROU;DF,MF;Salernitana;it Serie A;18;2004;2;0;23;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.26;0.00;0.26
2464;Andrea Sodero;it ITA;MF;Empoli;it Serie A;18;2004;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2471;Jhon Solis;co COL;MF;Girona;es La Liga;18;2004;18;2;384;4.3;0;0;0;0;0;0;0;0;1.0;1.0;0.3;1.4;9;22;13;0.00;0.00;0.00;0.00;0.00;0.24;0.07;0.32;0.24;0.32
2530;Williot Swedberg;se SWE;FW,MF;Celta Vigo;es La Liga;19;2004;15;4;439;4.9;5;0;5;5;0;0;1;0;2.3;2.3;0.2;2.5;7;6;26;1.03;0.00;1.03;1.03;1.03;0.47;0.04;0.51;0.47;0.51
2554;Jimi Tauriainen;eng ENG;FW;Chelsea;eng Premier League;19;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2559;Marciano Tchami;gw GNB;FW,MF;Almería;es La Liga;19;2004;6;0;43;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;1;1;3;0.00;0.00;0.00;0.00;0.00;0.06;0.10;0.17;0.06;0.17
2594;Antonio Tikvić;hr CRO;DF;Udinese;it Serie A;19;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2598;Umut Tohumcu;de GER;MF;Hoffenheim;de Bundesliga;18;2004;20;12;1,011;11.2;0;2;2;0;0;0;5;0;0.5;0.5;1.1;1.6;18;46;27;0.00;0.18;0.18;0.00;0.18;0.04;0.10;0.14;0.04;0.14
2628;Chaka Traorè;ci CIV;FW;Milan;it Serie A;18;2004;2;0;20;0.2;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;2;0;2;4.50;0.00;4.50;4.50;4.50;0.35;0.00;0.35;0.35;0.35
2652;Lesley Ugochukwu;fr FRA;MF;Chelsea;eng Premier League;19;2004;12;3;301;3.3;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;8;17;3;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03
2653;Lukas Ullrich;de GER;DF,FW;Gladbach;de Bundesliga;19;2004;4;0;47;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2660;Kacper Urbanski;pl POL;MF,FW;Bologna;it Serie A;18;2004;22;9;926;10.3;0;1;1;0;0;0;2;0;1.1;1.1;0.8;1.9;25;31;78;0.00;0.10;0.10;0.00;0.10;0.10;0.08;0.19;0.10;0.19
2705;Samuele Vignato;it ITA;MF,FW;Monza;it Serie A;19;2004;10;3;343;3.8;1;0;1;1;0;0;2;0;1.7;1.7;0.2;1.8;13;13;20;0.26;0.00;0.26;0.26;0.26;0.44;0.04;0.48;0.44;0.48
2760;Adam Wharton;eng ENG;MF;Crystal Palace;eng Premier League;19;2004;16;15;1,297;14.4;0;3;3;0;0;0;2;0;0.3;0.3;2.4;2.8;14;79;10;0.00;0.21;0.21;0.00;0.21;0.02;0.17;0.19;0.02;0.19
2791;Antal Yaakobishvili;hu HUN;DF;Girona;es La Liga;19;2004;1;0;61;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.3;0.3;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.37;0.00;0.37
2794;Yehor Yarmoliuk;ua UKR;MF;Brentford;eng Premier League;19;2004;27;6;688;7.6;0;0;0;0;0;0;2;0;1.0;1.0;0.1;1.1;13;35;36;0.00;0.00;0.00;0.00;0.00;0.13;0.01;0.14;0.13;0.14
102;Kofi Amoako;de GER;MF;Wolfsburg;de Bundesliga;18;2005;2;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
